"effect","group","term","estimate","std.error","statistic","dataset_num","effect_size"
"fixed",NA,"condunfamiliar",-0.833238244655932,0.444440155371989,-1.87480414311017,5,"effect_1_detail_100_subs"
"fixed",NA,"type",0.617205184382968,1.0165800589352,0.607138787504301,5,"effect_1_detail_100_subs"
"fixed",NA,"timeadult",-0.0356620819375163,0.456218176449196,-0.0781689195618614,5,"effect_1_detail_100_subs"
"fixed",NA,"timechild",-5.37308052449081,0.394929549218319,-13.6051620728955,5,"effect_1_detail_100_subs"
"fixed",NA,"condnoMusic:type",0.553845230413486,0.63764753339617,0.868575821917878,5,"effect_1_detail_100_subs"
"fixed",NA,"condunfamiliar:type",0.182211816701384,0.687847561967391,0.264901450228622,5,"effect_1_detail_100_subs"
"fixed",NA,"type:timeadult",-1.29880124140049,0.752800188209402,-1.72529345999474,5,"effect_1_detail_100_subs"
"fixed",NA,"type:timechild",7.67246448302509,0.90854029646156,8.4448257418043,5,"effect_1_detail_100_subs"
"fixed",NA,"(Intercept)",12.6502898960679,0.496873974326605,25.4597554907407,6,"effect_1_detail_100_subs"
"fixed",NA,"condnoMusic",-2.38281805471068,0.375574029213834,-6.34446971665875,6,"effect_1_detail_100_subs"
"fixed",NA,"condunfamiliar",-1.0420779140493,0.369559850680143,-2.81978118600126,6,"effect_1_detail_100_subs"
"fixed",NA,"type",-0.336869515774944,0.749152124368273,-0.449667704084816,6,"effect_1_detail_100_subs"
"fixed",NA,"timeadult",-0.493957777209347,0.369571454850773,-1.3365690740612,6,"effect_1_detail_100_subs"
"fixed",NA,"timechild",-4.83834665433971,0.383028270594209,-12.631826488509,6,"effect_1_detail_100_subs"
"fixed",NA,"condnoMusic:type",1.72147533999579,0.615839585956789,2.79533076348323,6,"effect_1_detail_100_subs"
"fixed",NA,"condunfamiliar:type",0.854202931855003,0.549597659280042,1.55423320574907,6,"effect_1_detail_100_subs"
"fixed",NA,"type:timeadult",-1.58528365402115,0.778424900811239,-2.03652741885445,6,"effect_1_detail_100_subs"
"fixed",NA,"type:timechild",6.63846483505222,0.996693312969284,6.66048898760576,6,"effect_1_detail_100_subs"
"fixed",NA,"(Intercept)",12.8763765123587,0.537611502603945,23.9510807525349,7,"effect_1_detail_100_subs"
"fixed",NA,"condnoMusic",-2.15429800592236,0.376046751608717,-5.72880365727489,7,"effect_1_detail_100_subs"
"fixed",NA,"condunfamiliar",-0.732088172735373,0.362183326359879,-2.02131936909747,7,"effect_1_detail_100_subs"
"fixed",NA,"type",-0.267769170745068,0.91644148462858,-0.292183598447195,7,"effect_1_detail_100_subs"
"fixed",NA,"timeadult",-0.277168648998027,0.386204066951066,-0.717674081441368,7,"effect_1_detail_100_subs"
"fixed",NA,"timechild",-5.42440812156258,0.383587805139561,-14.1412423671525,7,"effect_1_detail_100_subs"
"fixed",NA,"condnoMusic:type",0.76873240683071,0.687942175704308,1.11743753178629,7,"effect_1_detail_100_subs"
"fixed",NA,"condunfamiliar:type",0.86355390127102,0.533912443251187,1.61740733370537,7,"effect_1_detail_100_subs"
"fixed",NA,"type:timeadult",-1.69276823204487,0.693514917115137,-2.44085338363938,7,"effect_1_detail_100_subs"
"fixed",NA,"type:timechild",7.67662100434761,0.971882034795645,7.89871684989192,7,"effect_1_detail_100_subs"
"fixed",NA,"(Intercept)",12.4465134739365,0.489238170424103,25.4406017894046,8,"effect_1_detail_100_subs"
"fixed",NA,"condnoMusic",-1.72642474871797,0.382444690073514,-4.51418151049793,8,"effect_1_detail_100_subs"
"fixed",NA,"condunfamiliar",-0.917387382921212,0.363680931438213,-2.52250614101023,8,"effect_1_detail_100_subs"
"fixed",NA,"type",-0.0865411988434067,1.0264941297421,-0.0843075438387063,8,"effect_1_detail_100_subs"
"fixed",NA,"timeadult",-0.430331821763765,0.365762222311001,-1.17653435897451,8,"effect_1_detail_100_subs"
"fixed",NA,"timechild",-5.5266461529337,0.401259828625553,-13.7732355911736,8,"effect_1_detail_100_subs"
"fixed",NA,"condnoMusic:type",0.851759465788134,0.624609046254067,1.36366815513855,8,"effect_1_detail_100_subs"
"fixed",NA,"condunfamiliar:type",0.764214711042104,0.56845481176827,1.34437196276849,8,"effect_1_detail_100_subs"
"fixed",NA,"type:timeadult",-1.36126132334228,0.76957862645461,-1.76883982552051,8,"effect_1_detail_100_subs"
"fixed",NA,"type:timechild",6.37103598131067,1.11557033601386,5.71101236348358,8,"effect_1_detail_100_subs"
"fixed",NA,"(Intercept)",14.0729818832304,0.581403247729558,24.2051999850137,9,"effect_1_detail_100_subs"
"fixed",NA,"condnoMusic",-2.63686318901078,0.410574278634202,-6.42237793800053,9,"effect_1_detail_100_subs"
"fixed",NA,"condunfamiliar",-1.50535997295211,0.422699579597833,-3.56129990567851,9,"effect_1_detail_100_subs"
"fixed",NA,"type",0.0463339636454242,1.05073525527462,0.044096706009274,9,"effect_1_detail_100_subs"
"fixed",NA,"timeadult",-0.499733451987375,0.434138976810793,-1.15109096091404,9,"effect_1_detail_100_subs"
"fixed",NA,"timechild",-5.8578990881777,0.453947262076689,-12.9043604346887,9,"effect_1_detail_100_subs"
"fixed",NA,"condnoMusic:type",1.78606862137731,0.642088797462026,2.78165360996341,9,"effect_1_detail_100_subs"
"fixed",NA,"condunfamiliar:type",1.27390900757208,0.69584323609069,1.83074138182188,9,"effect_1_detail_100_subs"
"fixed",NA,"type:timeadult",-1.58053180588847,0.801690025747227,-1.97149990037023,9,"effect_1_detail_100_subs"
"fixed",NA,"type:timechild",8.66929643415399,1.09828724752888,7.89346908439457,9,"effect_1_detail_100_subs"
"fixed",NA,"(Intercept)",13.303147905367,0.464095636884003,28.6646691933714,10,"effect_1_detail_100_subs"
"fixed",NA,"condnoMusic",-2.67083786868561,0.365383318096372,-7.30968748819878,10,"effect_1_detail_100_subs"
"fixed",NA,"condunfamiliar",-1.17507568819891,0.373118166192816,-3.1493392567535,10,"effect_1_detail_100_subs"
"fixed",NA,"type",-0.954732305951807,1.03362543600992,-0.923673385629265,10,"effect_1_detail_100_subs"
"fixed",NA,"timeadult",0.225165476524153,0.362188678093084,0.621680052810165,10,"effect_1_detail_100_subs"
"fixed",NA,"timechild",-4.99401019038182,0.380884894916966,-13.1115994806529,10,"effect_1_detail_100_subs"
"fixed",NA,"condnoMusic:type",1.91323308573372,0.602612691105328,3.17489676864325,10,"effect_1_detail_100_subs"
"fixed",NA,"condunfamiliar:type",1.05808159071152,0.627313178196313,1.68668796940274,10,"effect_1_detail_100_subs"
"fixed",NA,"type:timeadult",-2.44698132924004,0.7270410714554,-3.36567138406863,10,"effect_1_detail_100_subs"
"fixed",NA,"type:timechild",6.32838884878946,0.97874773221838,6.46580180006737,10,"effect_1_detail_100_subs"
"fixed",NA,"(Intercept)",13.059416951872,0.532789708634638,24.5113911553188,11,"effect_1_detail_100_subs"
"fixed",NA,"condnoMusic",-2.21360324349351,0.384340082842743,-5.75949098808733,11,"effect_1_detail_100_subs"
"fixed",NA,"condunfamiliar",-0.988523005627074,0.386360510447342,-2.55855083244022,11,"effect_1_detail_100_subs"
