participant_id,event,time,condition,title,artist,trial,session,music_evoked_affect,mem_positive,mem_vivid,spont_memory,mem_coincidence,artist_exposure_rating,familiarity,childhood_exposure,adolescence_exposure,young_adult_exposure,adult_present_exposure,clip_liking,uri
64,Your first religious ceremony,child,F,Roses Are Red (My Love) - Single Version,Bobby Vinton,2,2,5,7,6,y,1,5,5,4,3,1,1,5,spotify:track:0qYok0f8O5DE8yJSo146dn
64,A time when you watched a movie/tv show with family as a child,child,F,I Can't Stop Loving You,Ray Charles,3,2,4,7,6,y,4,5,5,5,3,1,1,5,spotify:track:0lKNhJylqHrHdQBzmFN73Y
64,A celebration of your own birthday during childhood,child,F,I Want To Hold Your Hand - Remastered 2009,The Beatles,4,2,7,7,6,y,4,5,5,5,2,1,1,5,spotify:track:5Qe7NHxeLAn8KoLTNLSdwe
64,A snow-day (or other weather-related cancellation) in elementary school,child,F,Crying,Roy Orbison,5,2,3,3,6,y,1,5,5,1,5,4,1,5,spotify:track:6eLL7QTdMWdhhG4i3jHDR9
64,A night at a bar or party in college,adult,F,Silly Love Songs - Remastered 1993,Wings,6,2,5,5,6,y,2,5,5,1,1,5,2,4,spotify:track:3bC0IKk62yB6TDaratb1s2
64,A memorable party in your 20's,adult,F,"Evergreen (Love Theme from, ""A Star Is Born"")",Barbra Streisand,7,2,2,6,5,y,4,5,5,1,1,4,1,3,spotify:track:2IcqY68BxP1ONPi3ME6aje
64,A sporting event or concert in your 20's,adult,F,Night Fever,Bee Gees,8,2,7,6,6,y,3,5,5,1,1,5,3,5,spotify:track:0MEaPVD5sOZ17HhhjBZs3Z
64,Your first day at a job after college/high school,adult,F,Don't Go Breaking My Heart - Remastered,Elton John,9,2,5,7,6,n,NA,5,5,1,1,5,1,4,spotify:track:4LTxJnvxbnnDJYygjoSXDp
64,A favorite memory from college,adult,F,Bad Girls,Donna Summer,10,2,5,5,7,y,2,5,5,1,1,1,5,5,spotify:track:4Nh6q5ZWiGS5BVGQryoOMp
64,A performance of a junior/high school play,adol,F,Dancing Machine,The Jackson 5,11,2,6,3,7,y,1,5,5,1,1,5,2,4,spotify:track:0xqb2Euq1PAxKHBA36NUnx
